,GDP_water_all,perc_fff,d_plan,w_plan,base_w_stress,invest,tax_break,corruption,perc_vote,innovate,climate_real,hs_ed,pop_dens,w_quality,debt,flood_pop,flood_build,flood_car,impervious,beds_1000,alone_65,child_5,health_ins,older_1999,mobile_home,rent_50plus,trees,heating,disabled,poverty,older_1979,work_outside,no_car,pop_under_1ft,pop_under_3ft,impact_plus1ft,impact_plus3ft,lat,long,city_km2,pop_2015,median_income
202,9.36805335,0.07906196,1,1,5.0,17,0,0,0.616441107,0.000558596,43,14.3,863.2712974,0,1364.62,9.42,9.38,6.156946047999999,30.44137465,5.154573136000001,11.282684800000002,6.6,81.5,76.25,4.5,24.5,5.649438755,0.9940000000000001,11.6,12.2026809,44.0,13.27,10.2,0.0,0.0,0.0,0.0,39.5296,-119.8138,271.2484484,234161,47012
203,10.49677557,0.046713733,0,1,3.353000047,15,0,12,0.758837619,0.000947022,50,22.9,1417.209069,0,2549.01,8.89,9.17,8.983914276,38.32148805,0.464696971,8.1329619,7.2,82.6,89.49,0.4,27.2,18.22780801,0.9590000000000001,11.5,12.6930463,68.7,21.72,10.1,2.302108795,4.262200619,0.007636046,0.008778186,37.9358,-122.3477,75.9217552,107597,55102
204,1.5666113430000002,0.827298839,0,0,5.0,19,1,40,0.750391323,0.00011696700000000001,53,16.8,1334.759018,0,4836.61,17.06,16.12,9.901326798,29.49969123,9.240414532,11.1058883,6.3,83.1,93.12,0.5,28.9,34.8786343,0.995,15.4,17.9056223,82.2,11.63,16.8,0.779002035,2.8647624389999997,0.00329365,0.0033327990000000004,37.5407,-77.436,160.13002869999997,213735,40758
205,11.19193384,0.153997724,0,0,1.516719154,15,0,53,0.470217216,0.000116186,48,21.5,1504.2752169999999,0,2506.91,7.84,7.78,16.06479703,33.1025419,2.747087739,7.3772557,6.8,82.8,85.89,2.2,29.4,4.097742885,0.9840000000000001,9.5,12.3231836,61.0,15.16,6.0,0.0,0.0,0.0,0.0,33.9533,-117.3962,210.2906412,316335,57196
206,17.29124369,0.309565728,0,0,5.0,21,0,4,0.7864518690000001,0.003496127,41,6.5,780.3161066,0,1320.76,14.53,14.76,14.34877161,23.5581928,19.22466561,9.5796856,7.5,93.9,77.71,2.3,22.4,13.13001771,0.993,9.5,9.176330400000001,48.1,8.36,7.6,0.0,0.0,0.0,0.0,44.0121,-92.4802,141.3209327,110275,64554
207,17.24748113,0.37311534399999996,0,0,0.474428195,18,0,17,0.611524058,0.0013651720000000002,44,19.5,2224.399731,0,1099.13,11.76,11.48,8.746149546,44.72402101,7.867327812999999,8.7764313,7.1,90.1,97.52,0.3,35.1,24.08000453,0.992,17.3,36.107579799999996,91.5,10.75,25.8,0.0,0.0,0.0,0.0,43.161,-77.6109,94.74241391,210745,30960
208,33.49645359,0.06381766400000001,0,0,0.345779545,16,0,16,0.702360442,0.000499244,41,16.9,943.9967765,0,775.35,0.06,0.06,11.844484,36.72289623,5.702574476000001,12.3499377,7.5,87.6,93.28,0.7,28.6,14.59903065,0.997,14.7,25.2463328,78.1,12.7,12.1,0.0,0.0,0.0,0.0,42.2711,-89.094,159.1986368,150283,38716
209,7.339846128,0.34462483299999996,0,1,4.906811846,0,0,14,0.8731990890000001,0.00043955400000000004,41,5.5,1361.3115699999998,0,5275.49,23.07,22.36,0.010356724,40.495284600000005,5.287864035,11.5453198,6.3,91.9,65.65,1.4,25.0,8.372302055,0.995,9.7,6.1872945999999995,23.2,7.13,4.6,0.0,0.0,0.0,0.0,38.7521,-121.288,92.79800654,126327,75867
210,7.339846128,0.085996122,0,0,2.294208136,0,0,14,0.570634306,0.00012689,48,16.6,1873.7682079999997,0,2782.48,8.22,8.68,25.01511286,43.3656696,4.534236713,9.4076381,7.0,86.7,83.42,1.7,28.0,9.492967427,0.9940000000000001,13.0,15.0618739,60.1,11.14,10.7,0.0,0.0,0.0,0.0,38.5816,-121.4944,256.4703563,480566,50739
211,10.36320989,0.34365733299999995,0,1,0.185220496,19,0,3,0.31928252,7.42e-05,45,13.1,1275.725199,0,1372.36,6.02,5.87,9.235553772000001,38.22553521,2.381130943,10.3223683,7.2,86.6,85.21,5.2,23.6,15.53069716,0.997,14.5,25.370264499999998,56.9,14.67,8.8,0.0,0.0,0.0,0.0,44.9429,-123.0351,125.42513079999999,160008,47191
212,25.40946315,3.682620309,0,1,1.27728685,0,1,12,0.365837853,0.00017271900000000002,49,40.5,2607.718509,9,387.22,2.2,1.96,5.740433619,43.25329302,2.838458865,6.096547,9.2,78.7,90.32,3.5,25.7,2.658682993,0.98,7.6,11.2638169,58.8,33.66,5.6,0.0,0.0,0.0,0.0,36.6777,-121.6555,59.57928337,155366,49840
