"city","state","geo.id","region"
"San Diego","CA","1600000US0666000","West"
"San Francisco","CA","1600000US0667000","West"
"San Jose","CA","1600000US0668000","West"
"San Juan","PR","1600000US7276770","Southeast"
"Santa Ana","CA","1600000US0669000","West"
"Santa Clara","CA","1600000US0669084","West"
"Santa Clarita","CA","1600000US0669088","West"
"Santa Rosa","CA","1600000US0670098","West"
"Savannah","GA","1600000US1369000","Southeast"
"Scottsdale","AZ","1600000US0465000","Southwest"
"Seattle","WA","1600000US5363000","Northwest"
"Shreveport","LA","1600000US2270000","South"
"Simi Valley","CA","1600000US0672016","West"
"Sioux Falls","SD","1600000US4659020","Northern Rockies & Plains"
"South Bend","IN","1600000US1871000","Ohio Valley "
"Spokane","WA","1600000US5367000","Northwest"
"Springfield (IL)","IL","1600000US1772000","Northeast"
"Springfield (MA)","MA","1600000US2567000","Ohio Valley "
"Springfield (MO)","MO","1600000US2970000","Ohio Valley "
"St. Louis","MO","1600000US2965000","Ohio Valley "
"St. Paul","MN","1600000US2758000","Upper Midwest"
"St. Petersburg","FL","1600000US1263000","Southeast"
"Stamford","CT","1600000US0973000","Northeast"
"Sterling Heights","MI","1600000US2676460","Upper Midwest"
"Stockton","CA","1600000US0675000","West"
"Sunnyvale","CA","1600000US0677000","West"
"Surprise","AZ","1600000US0471510","Southwest"
"Syracuse","NY","1600000US3673000","Northeast"
"Tacoma","WA","1600000US5370000","Northwest"
"Tallahassee","FL","1600000US1270600","Southeast"
"Tampa","FL","1600000US1271000","Southeast"
"Temecula","CA","1600000US0678120","West"
"Tempe","AZ","1600000US0473000","Southwest"
"Thornton","CO","1600000US0877290","Southwest"
"Thousand Oaks","CA","1600000US0678582","West"
"Toledo","OH","1600000US3977000","Ohio Valley "
"Topeka","KS","1600000US2071000","South"
"Torrance","CA","1600000US0680000","West"
"Tucson","AZ","1600000US0477000","Southwest"
"Tulsa","OK","1600000US4075000","South"
"Vallejo","CA","1600000US0681666","West"
"Vancouver","WA","1600000US5374060","Northwest"
"Victorville","CA","1600000US0682590","West"
