"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Cheyenne","WY","1600000US5613900","Fort Collins, CO","Lakewood, CO","Surprise, AZ","Grand Prairie, TX","Madison, WI","Riverside, CA","Elgin, IL","Joliet, IL","Oceanside, CA","Antioch, CA","Vallejo, CA","Kent, WA","Sterling Heights, MI","Raleigh, NC","Baltimore, MD"
"Chicago","IL","1600000US1714000","Minneapolis, MN","Philadelphia, PA","Elizabeth, NJ","Bridgeport, CT","Baton Rouge, LA","Lowell, MA","Houston, TX","Brownsville, TX","Pomona, CA","Santa Ana, CA","Long Beach, CA","Inglewood, CA","Los Angeles, CA","Salinas, CA","Oakland, CA"
"Chula Vista","CA","1600000US0613392","Costa Mesa, CA","Fullerton, CA","Fontana, CA","San Buenaventura, CA","Hayward, CA","Concord, CA","Westminster, CO","Thornton, CO","Austin, TX","Arlington, TX","Coral Springs, FL","Pembroke Pines, FL","Miramar, FL","Burlington, VT","Honolulu, HI"
"Cincinnati","OH","1600000US3915000","Evansville, IN","Toledo, OH","South Bend, IN","Knoxville, TN","Lansing, MI","St. Louis, MO","Springfield (MO), MO","Syracuse, NY","Jackson, MS","Springfield (MA), MA","Gainesville, FL","Waco, TX","Pueblo, CO","Albuquerque, NM","San Bernardino, CA"
"Clarksville","TN","1600000US4715160","Little Rock, AR","Peoria (IL), IL","Charlotte, NC","Davenport, IA","Kansas City (MO), MO","Des Moines, IA","Lafayette, LA","Killeen, TX","West Palm Beach, FL","Fargo, ND","Salt Lake City, UT","Victorville, CA","Anaheim, CA","Lancaster, CA","Reno, NV"
"Clearwater","FL","1600000US1212875","St. Petersburg, FL","Tampa, FL","Hollywood, FL","Norfolk, VA","Fort Wayne, IN","McAllen, TX","Warren, MI","Worcester, MA","Cambridge, MA","Portland (ME), ME","Glendale (AZ), AZ","Spokane, WA","Stockton, CA","Gresham, OR","Eugene, OR"
"Cleveland","OH","1600000US3916000","Detroit, MI","Toledo, OH","Dayton, OH","Rochester (NY), NY","Syracuse, NY","Clarksville, TN","Hartford, CT","Jackson, MS","Gainesville, FL","Carrollton, TX","Beaumont, TX","Hialeah, FL","Boise City, ID","San Juan, PR","Burbank, CA"
"Colorado Springs","CO","1600000US0816000","Centennial, CO","Fort Collins, CO","Sioux Falls, SD","North Las Vegas, NV","Fort Worth, TX","Grand Prairie, TX","Ontario, CA","Madison, WI","Aurora (IL), IL","Richmond (CA), CA","Chattanooga, TN","Charleston (WV), WV","Raleigh, NC","Baltimore, MD","Manchester, NH"
"Columbia (MO)","MO","1600000US2915670","Independence, MO","Peoria (IL), IL","Des Moines, IA","Wichita, KS","Little Rock, AR","Fort Wayne, IN","Wichita Falls, TX","Fargo, ND","Lubbock, TX","Fayetteville, NC","McAllen, TX","Palm Bay, FL","West Palm Beach, FL","Cambridge, MA","Victorville, CA"
"Columbia (SC)","SC","1600000US4516000","High Point, NC","Winston-Salem, NC","Greensboro, NC","Wilmington (NC), NC","Columbus (GA), GA","Chesapeake, VA","Tallahassee, FL","Montgomery, AL","Orlando, FL","Palm Bay, FL","Akron, OH","Independence, MO","Tulsa, OK","Topeka, KS","Bellevue, WA"
"Columbus (GA)","GA","1600000US1319000","Montgomery, AL","Orlando, FL","High Point, NC","Fayetteville, NC","Greensboro, NC","Palm Bay, FL","Wilmington (NC), NC","Chesapeake, VA","Akron, OH","Tulsa, OK","Independence, MO","Topeka, KS","Green Bay, WI","Bellevue, WA","Columbus (GA), GA"
"Columbus (OH)","OH","1600000US3918000","Cleveland, OH","Alexandria, VA","Norfolk, VA","Des Moines, IA","Worcester, MA","Wichita, KS","Tampa, FL","St. Petersburg, FL","Dallas, TX","San Antonio, TX","Aurora (CO), CO","El Paso, TX","Glendale (AZ), AZ","Stockton, CA","Salem, OR"
"Concord","CA","1600000US0616000","Fairfield, CA","Hayward, CA","San Buenaventura, CA","Fullerton, CA","Fontana, CA","West Jordan, UT","Westminster, CO","Thornton, CO","Arlington, TX","Cedar Rapids, IA","Cincinnati, OH","Atlanta, GA","Burlington, VT","Coral Springs, FL","Miramar, FL"
"Coral Springs","FL","1600000US1214400","Miramar, FL","Cincinnati, OH","Austin, TX","Arlington, TX","Burlington, VT","Thornton, CO","Westminster, CO","West Jordan, UT","Fontana, CA","Costa Mesa, CA","Fullerton, CA","San Buenaventura, CA","Hayward, CA","Fairfield, CA","Coral Springs, FL"
"Corona","CA","1600000US0616350","Orange, CA","Rancho Cucamonga, CA","Murrieta, CA","Pasadena (CA), CA","Scottsdale, AZ","Elk Grove, CA","Roseville, CA","West Jordan, UT","Seattle, WA","Olathe, KS","Overland Park, KS","Cedar Rapids, IA","Atlanta, GA","Charleston (SC), SC","Stamford, CT"
"Corpus Christi","TX","1600000US4817000","Denton, TX","Birmingham, AL","Murfreesboro, TN","Lincoln, NE","Springfield (IL), IL","Lexington-Fayette, KY","Port St. Lucie, FL","Sioux Falls, SD","North Las Vegas, NV","Durham, NC","Carlsbad, CA","Palmdale, CA","Newport News, VA","Hampton, VA","Boston, MA"
"Costa Mesa","CA","1600000US0616532","Fullerton, CA","Downey, CA","Corona, CA","West Covina, CA","Fontana, CA","Oxnard, CA","San Buenaventura, CA","Thornton, CO","Seattle, WA","Austin, TX","Cincinnati, OH","Coral Springs, FL","Miramar, FL","Anchorage, AK","Burlington, VT"
