"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Fort Wayne","IN","1600000US1825000","1600000US5531000","1600000US3731400","1600000US2935000","1600000US4516000","1600000US2071000","1600000US3774440","1600000US4075000","1600000US2511000","1600000US4879000","1600000US1253000","1600000US1271000","1600000US1254000","1600000US4845000","1600000US4845384","1600000US0624680"
"Fort Worth","TX","1600000US4827000","1600000US4837000","1600000US2915670","1600000US0812815","1600000US1921000","1600000US0803455","1600000US4714000","1600000US4659020","1600000US1703012","1600000US5548000","1600000US3251800","1600000US3755000","1600000US0653896","1600000US0616532","1600000US0655156","1600000US3345140"
"Fremont","CA","1600000US0626000","1600000US0677000","1600000US0669084","1600000US0668000","1600000US0606000","1600000US0678582","1600000US0672016","1600000US0669088","1600000US0636000","1600000US0636770","1600000US0412000","1600000US4827684","1600000US4858016","1600000US1751622","1600000US4202000","1600000US7214290"
"Fresno","CA","1600000US0627000","1600000US0675000","1600000US4962470","1600000US5367000","1600000US4841464","1600000US1723074","1600000US1822000","1600000US2634000","1600000US2684000","1600000US3916000","1600000US4261000","1600000US5167000","1600000US5157000","1600000US1077580","1600000US0980000","1600000US7206593"
"Frisco","TX","1600000US4827684","1600000US4858016","1600000US1751622","1600000US0412000","1600000US0636770","1600000US0636000","1600000US0669088","1600000US0672016","1600000US0678582","1600000US4202000","1600000US0627000","1600000US0668000","1600000US0669084","1600000US0677000","1600000US0606000","1600000US7214290"
"Fullerton","CA","1600000US0628000","1600000US0684200","1600000US0616350","1600000US0665042","1600000US0633000","1600000US0883835","1600000US0877290","1600000US0827425","1600000US4804000","1600000US4805000","1600000US4819000","1600000US3915000","1600000US1214400","1600000US1245975","1600000US5010675","1600000US1571550"
"Gainesville","FL","1600000US1225175","1600000US1369000","1600000US4740000","1600000US2836000","1600000US4715160","1600000US2970000","1600000US3977000","1600000US1871000","1600000US4876000","1600000US4819972","1600000US2646000","1600000US3611000","1600000US0862000","1600000US3502000","1600000US1608830","1600000US5322640"
"Garden Grove","CA","1600000US0629000","1600000US0669000","1600000US0643000","1600000US0652526","1600000US0630000","1600000US0654652","1600000US0653000","1600000US3006550","1600000US4819000","1600000US2743000","1600000US3719000","1600000US1255775","1600000US0203000","1600000US3684000","1600000US0908000","1600000US1571550"
"Garland","TX","1600000US4829000","1600000US4837000","1600000US3128000","1600000US3137000","1600000US1921000","1600000US0803455","1600000US1825000","1600000US4983470","1600000US3240000","1600000US0649270","1600000US0653896","1600000US0682954","1600000US0664000","1600000US4123850","1600000US5374060","1600000US5370000"
"Glendale (AZ)","AZ","1600000US0427820","1600000US0473000","1600000US0446000","1600000US0804000","1600000US0675000","1600000US4164900","1600000US4131250","1600000US4856000","1600000US2240735","1600000US2622000","1600000US1263000","1600000US5101000","1600000US1232000","1600000US5157000","1600000US2582000","1600000US2360545"
