"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Charlotte","NC","1600000US3712000","Fort Worth, TX","Colorado Springs, CO","Aurora (IL), IL","Raleigh, NC","Arvada, CO","Denver, CO","Madison, WI","North Las Vegas, NV","Portland (OR), OR","Ontario, CA","Sioux Falls, SD","Irving, TX","Manchester, NH","Centennial, CO","Moreno Valley, CA"
"Chattanooga","TN","1600000US4714000","Bellevue, WA","Winston-Salem, NC","Tallahassee, FL","Columbia (SC), SC","Mobile, AL","Kansas City (KS), KS","Shreveport, LA","Greensboro, NC","Columbus (GA), GA","Laredo, TX","High Point, NC","Rockford, IL","Wilmington (NC), NC","Topeka, KS","Provo, UT"
"Chesapeake","VA","1600000US5116000","Midland, TX","Virginia Beach, VA","Peoria (AZ), AZ","Fairfield, CA","Atlanta, GA","West Jordan, UT","Cedar Rapids, IA","Westminster, CO","Rochester (MN), MN","Scottsdale, AZ","Overland Park, KS","Thornton, CO","Hayward, CA","Concord, CA","Henderson, NV"
"Cheyenne","WY","1600000US5613900","Baltimore, MD","Grand Prairie, TX","Lakewood, CO","Vallejo, CA","Elgin, IL","Sterling Heights, MI","Oceanside, CA","Fort Collins, CO","Riverside, CA","Joliet, IL","Surprise, AZ","Antioch, CA","Kent, WA","Raleigh, NC","Madison, WI"
"Chicago","IL","1600000US1714000","Los Angeles, CA","Santa Ana, CA","Philadelphia, PA","Long Beach, CA","Bridgeport, CT","Elizabeth, NJ","Baton Rouge, LA","Inglewood, CA","Minneapolis, MN","Lowell, MA","Houston, TX","Brownsville, TX","Oakland, CA","Salinas, CA","Pomona, CA"
"Chula Vista","CA","1600000US0613392","Fontana, CA","Coral Springs, FL","Burlington, VT","Miramar, FL","San Buenaventura, CA","Fullerton, CA","Austin, TX","Arlington, TX","Hayward, CA","Thornton, CO","Concord, CA","Costa Mesa, CA","Westminster, CO","Honolulu, HI","Pembroke Pines, FL"
"Cincinnati","OH","1600000US3915000","Toledo, OH","Albuquerque, NM","Springfield (MA), MA","Lansing, MI","South Bend, IN","St. Louis, MO","Evansville, IN","Springfield (MO), MO","Pueblo, CO","Knoxville, TN","Gainesville, FL","San Bernardino, CA","Syracuse, NY","Jackson, MS","Waco, TX"
"Clarksville","TN","1600000US4715160","Lancaster, CA","Davenport, IA","Salt Lake City, UT","Little Rock, AR","Victorville, CA","Anaheim, CA","West Palm Beach, FL","Reno, NV","Fargo, ND","Charlotte, NC","Lafayette, LA","Kansas City (MO), MO","Killeen, TX","Des Moines, IA","Peoria (IL), IL"
"Clearwater","FL","1600000US1212875","Norfolk, VA","Warren, MI","Eugene, OR","Stockton, CA","St. Petersburg, FL","Worcester, MA","Spokane, WA","Tampa, FL","McAllen, TX","Cambridge, MA","Portland (ME), ME","Glendale (AZ), AZ","Gresham, OR","Hollywood, FL","Fort Wayne, IN"
"Cleveland","OH","1600000US3916000","Detroit, MI","Beaumont, TX","Carrollton, TX","Dayton, OH","Rochester (NY), NY","Hartford, CT","San Juan, PR","Syracuse, NY","Burbank, CA","Gainesville, FL","Boise City, ID","Clarksville, TN","Toledo, OH","Jackson, MS","Hialeah, FL"
"Colorado Springs","CO","1600000US0816000","Madison, WI","Raleigh, NC","Aurora (IL), IL","Centennial, CO","Fort Collins, CO","Chattanooga, TN","Fort Worth, TX","Manchester, NH","Ontario, CA","North Las Vegas, NV","Grand Prairie, TX","Sioux Falls, SD","Charleston (WV), WV","Baltimore, MD","Richmond (CA), CA"
"Columbia (MO)","MO","1600000US2915670","Lubbock, TX","Wichita Falls, TX","West Palm Beach, FL","Peoria (IL), IL","Victorville, CA","Little Rock, AR","Fargo, ND","Cambridge, MA","Fayetteville, NC","Fort Wayne, IN","Independence, MO","McAllen, TX","Palm Bay, FL","Wichita, KS","Des Moines, IA"
"Columbia (SC)","SC","1600000US4516000","Bellevue, WA","Columbus (GA), GA","Chesapeake, VA","Montgomery, AL","High Point, NC","Akron, OH","Winston-Salem, NC","Greensboro, NC","Topeka, KS","Tallahassee, FL","Wilmington (NC), NC","Palm Bay, FL","Tulsa, OK","Independence, MO","Orlando, FL"
"Columbus (GA)","GA","1600000US1319000","Montgomery, AL","Akron, OH","Columbus (GA), GA","Palm Bay, FL","Fayetteville, NC","Bellevue, WA","Independence, MO","High Point, NC","Topeka, KS","Tulsa, OK","Wilmington (NC), NC","Greensboro, NC","Chesapeake, VA","Orlando, FL","Green Bay, WI"
"Columbus (OH)","OH","1600000US3918000","Alexandria, VA","St. Petersburg, FL","Aurora (CO), CO","Dallas, TX","Tampa, FL","Glendale (AZ), AZ","Stockton, CA","Wichita, KS","Norfolk, VA","San Antonio, TX","Worcester, MA","Salem, OR","Des Moines, IA","El Paso, TX","Cleveland, OH"
"Concord","CA","1600000US0616000","West Jordan, UT","Cedar Rapids, IA","Thornton, CO","Westminster, CO","San Buenaventura, CA","Fairfield, CA","Atlanta, GA","Coral Springs, FL","Miramar, FL","Hayward, CA","Cincinnati, OH","Fontana, CA","Burlington, VT","Arlington, TX","Fullerton, CA"
"Coral Springs","FL","1600000US1214400","San Buenaventura, CA","Cincinnati, OH","Burlington, VT","Fontana, CA","Fullerton, CA","Miramar, FL","Coral Springs, FL","Thornton, CO","Westminster, CO","Hayward, CA","Arlington, TX","Costa Mesa, CA","West Jordan, UT","Austin, TX","Fairfield, CA"
