"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Garden Grove","CA","1600000US0629000","Pomona, CA","Glendale (CA), CA","Salinas, CA","Modesto, CA","Oxnard, CA"
"Garland","TX","1600000US4829000","Tempe, AZ","Glendale (AZ), AZ","Fort Lauderdale, FL","Moreno Valley, CA","Oceanside, CA"
"Glendale (AZ)","AZ","1600000US0427820","Tempe, AZ","Moreno Valley, CA","Oceanside, CA","Garland, TX","Tacoma, WA"
"Glendale (CA)","CA","1600000US0630000","Pomona, CA","Garden Grove, CA","Salinas, CA","Modesto, CA","Oxnard, CA"
"Grand Prairie","TX","1600000US4830464","Little Rock, AR","Amarillo, TX","Shreveport, LA","Huntsville, AL","Durham, NC"
"Grand Rapids","MI","1600000US2634000","Norfolk, VA","Springfield (MA), MA","Worcester, MA","Garland, TX","Fort Lauderdale, FL"
"Green Bay","WI","1600000US5531000","South Bend, IN","Dayton, OH","Columbia (MO), MO","Kansas City (KS), KS","Waco, TX"
"Greensboro","NC","1600000US3728000","Fort Wayne, IN","Orlando, FL","New Orleans, LA","Tulsa, OK","Lexington-Fayette, KY"
"Gresham","OR","1600000US4131250","Escondido, CA","Ann Arbor, MI","Hollywood, FL","Kent, WA","Concord, CA"
"Hampton","VA","1600000US5135000","Manchester, NH","Waterbury, CT","Stamford, CT","Portland (ME), ME","Mesquite, TX"
"Hartford","CT","1600000US0937000","New Haven, CT","Bridgeport, CT","Allentown, PA","Syracuse, NY","Wilmington (DE), DE"
"Hayward","CA","1600000US0633000","Elk Grove, CA","Santa Clarita, CA","Ontario, CA","Salem, OR","Irving, TX"
"Henderson","NV","1600000US3231900","Bakersfield, CA","Aurora (CO), CO","Wichita, KS","Corpus Christi, TX","Lexington-Fayette, KY"
"Hialeah","FL","1600000US1230000","Bayam<U+0086>n, PR","Carolina, PR","Rochester (NY), NY","Providence, RI","Pomona, CA"
"High Point","NC","1600000US3731400","Columbia (SC), SC","Wilmington (NC), NC","Savannah, GA","South Bend, IN","Waco, TX"
"Hollywood","FL","1600000US1232000","Ann Arbor, MI","Escondido, CA","Gresham, OR","Miramar, FL","Coral Springs, FL"
"Honolulu","HI","1600000US1571550","Anaheim, CA","Minneapolis, MN","St. Paul, MN","Pittsburgh, PA","Buffalo, NY"
"Houston","TX","1600000US4835000","Dallas, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA","Los Angeles, CA"
"Huntington Beach","CA","1600000US0636000","Oxnard, CA","Garden Grove, CA","Pomona, CA","Glendale (CA), CA","Salinas, CA"
"Huntsville","AL","1600000US0137000","Little Rock, AR","Durham, NC","Birmingham, AL","Des Moines, IA","Salt Lake City, UT"
"Independence","MO","1600000US2935000","Kansas City (KS), KS","Topeka, KS","Columbia (MO), MO","Dayton, OH","Palm Bay, FL"
"Indianapolis","IN","1600000US1836003","Fort Worth, TX","Jacksonville, FL","Austin, TX","Charlotte, NC","Columbus (OH), OH"
"Inglewood","CA","1600000US0636546","El Monte, CA","Elizabeth, NJ","Paterson, NJ","Norwalk, CA","Daly City, CA"
"Irvine","CA","1600000US0636770","Santa Clarita, CA","Fremont, CA","Elk Grove, CA","Boise City, ID","Irving, TX"
"Irving","TX","1600000US4837000","Pasadena (TX), TX","Baton Rouge, LA","Laredo, TX","Fort Collins, CO","Ontario, CA"
"Jackson","MS","1600000US2836000","Mobile, AL","Shreveport, LA","Birmingham, AL","Brownsville, TX","Salt Lake City, UT"
