"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Fargo","ND","1600000US3825700","Billings, MT","Cedar Rapids, IA","Cheyenne, WY","Davenport, IA","Peoria (IL), IL"
"Fayetteville","NC","1600000US3722920","Chattanooga, TN","Columbus (GA), GA","Knoxville, TN","Winston-Salem, NC","Durham, NC"
"Fontana","CA","1600000US0624680","Palmdale, CA","Irvine, CA","Ontario, CA","San Bernardino, CA","Corona, CA"
"Fort Collins","CO","1600000US0827425","Amarillo, TX","Lubbock, TX","Overland Park, KS","Salt Lake City, UT","Sioux Falls, SD"
"Fort Lauderdale","FL","1600000US1224000","Birmingham, AL","Cape Coral, FL","Columbus (GA), GA","Fayetteville, NC","Mobile, AL"
"Fort Wayne","IN","1600000US1825000","Lexington-Fayette, KY","Cincinnati, OH","Toledo, OH","Cleveland, OH","Pittsburgh, PA"
"Fort Worth","TX","1600000US4827000","Austin, TX","Dallas, TX","Houston, TX","Oklahoma City, OK","San Antonio, TX"
"Fremont","CA","1600000US0626000","Lancaster, CA","Reno, NV","Elk Grove, CA","Hayward, CA","Santa Clarita, CA"
"Fresno","CA","1600000US0627000","Oakland, CA","Sacramento, CA","Bakersfield, CA","San Francisco, CA","Stockton, CA"
"Frisco","TX","1600000US4827684","Midland, TX","Denton, TX","Killeen, TX","Norman, OK","Abilene, TX"
"Fullerton","CA","1600000US0628000","Burbank, CA","Costa Mesa, CA","Downey, CA","Pasadena (CA), CA","West Covina, CA"
"Gainesville","FL","1600000US1225175","Columbia (SC), SC","Palm Bay, FL","Savannah, GA","Wilmington (NC), NC","Charleston (SC), SC"
"Garden Grove","CA","1600000US0629000","Irvine, CA","Ontario, CA","San Bernardino, CA","Santa Clarita, CA","Corona, CA"
"Garland","TX","1600000US4829000","Amarillo, TX","Grand Prairie, TX","Little Rock, AR","Lubbock, TX","McKinney, TX"
"Glendale (AZ)","AZ","1600000US0427820","Moreno Valley, CA","Oceanside, CA","Tempe, AZ","Corona, CA","Fontana, CA"
"Glendale (CA)","CA","1600000US0630000","Lancaster, CA","Palmdale, CA","Irvine, CA","Ontario, CA","Santa Clarita, CA"
"Grand Prairie","TX","1600000US4830464","Amarillo, TX","Little Rock, AR","Lubbock, TX","Shreveport, LA","McKinney, TX"
"Grand Rapids","MI","1600000US2634000","Akron, OH","Aurora (IL), IL","Madison, WI","Rockford, IL","Ann Arbor, MI"
"Green Bay","WI","1600000US5531000","Dayton, OH","South Bend, IN","Cedar Rapids, IA","Davenport, IA","Peoria (IL), IL"
"Greensboro","NC","1600000US3728000","Cincinnati, OH","Lexington-Fayette, KY","Pittsburgh, PA","Akron, OH","Atlanta, GA"
"Gresham","OR","1600000US4131250","Antioch, CA","Bellevue, WA","Everett, WA","Fairfield, CA","Richmond (CA), CA"
"Hampton","VA","1600000US5135000","Charleston (WV), WV","Columbia (SC), SC","High Point, NC","Wilmington (NC), NC","Stamford, CT"
"Hartford","CT","1600000US0937000","Allentown, PA","Bridgeport, CT","New Haven, CT","Syracuse, NY","Wilmington (DE), DE"
"Hayward","CA","1600000US0633000","Lancaster, CA","Reno, NV","Elk Grove, CA","Fremont, CA","Santa Clarita, CA"
"Henderson","NV","1600000US3231900","Anaheim, CA","Bakersfield, CA","Riverside, CA","Santa Ana, CA","Corona, CA"
